course,subject,difficult_level,num_subscribers
Professional WordPress Theme Development For 2017,Web Development,All Levels,3185
Professional Ruby on Rails Developer with Rails 5,Web Development,All Levels,3179
Crash Course on Working Capital Management,Business Finance,All Levels,3177
Ethereum Developer: Build A Decentralised Blockchain App,Web Development,All Levels,3169
Angular 2 Demystified,Web Development,All Levels,3150
Forex & Financial Market Trading Tutorial- Online Strategies,Business Finance,All Levels,3137
#1 Piano Hand Coordination: Play 10th Ballad in Eb Key songs,Musical Instruments,All Levels,3137
Scaling Docker on AWS,Web Development,All Levels,3133
Logo design: How To Design an Awesome Logo in Illustrator,Graphic Design,All Levels,3131
Play Piano Today - Easy Festive Favorites & Piano Party Hits,Musical Instruments,All Levels,3122
Critical Web Dev Skills & Tools for the Non-Tech Hustler,Web Development,All Levels,3118
WordPress For Beginners | No Coding Required,Web Development,All Levels,3106
Leasing - A Comprehensive Study (Professional Course Level),Business Finance,All Levels,3094
Accounting and Finance for Bankers - A Comprehensive Study,Business Finance,All Levels,3056
Fingerstyle Guitar Mastery: 3 Techniques You Need To Know,Musical Instruments,All Levels,3042
"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z 874284,Weekly Forex Analysis by Baraq FX""",Business Finance,All Levels,3035
Learn HTML5 At Your Own Pace. Ideal for Beginners,Web Development,All Levels,3026
Expert Guide : Mastering Functions in JavaScript !,Web Development,All Levels,3015
Succeed in Futures Even if You Don't Know Where to Start,Business Finance,All Levels,3014
How to Create A Website: An HTML Tutorial and CSS Tutorial,Web Development,All Levels,3012
Photoshop para novatos:  ¡desde cero hasta experto!,Graphic Design,All Levels,3000
Stock Options Day Trading Mindset for Success,Business Finance,All Levels,2988
Cash Flow Valuation: Develop Your Financial Literacy,Business Finance,All Levels,2987
jQuery for Beginners - Create Website Animations Easily,Web Development,All Levels,2971
CAIIB Advanced Bank Management (Part I),Business Finance,All Levels,2953
What Finance Job is for You? Explanation of 14 Finance Roles,Business Finance,All Levels,2951
B Com Accountancy I (Paper ECO 02 IGNOU),Business Finance,All Levels,2946
Photoshop Fantastic! - The Comprehensive Guide to Photoshop,Graphic Design,All Levels,2938
Accounting for Deferred Taxes (Professional Course Level),Business Finance,All Levels,2924
"Trading Stock Chart Patterns For Immediate, Explosive Gains",Business Finance,All Levels,2917
Cashflow Management for Small Businesses: A How To Guide,Business Finance,All Levels,2914
AngularJS Masterclass - Deep Dive & Understand AngularJS,Web Development,All Levels,2912
Expert Guide : Mastering Shapes Creation with Illustrator,Graphic Design,All Levels,2911
Option Trading for Rookies:  Understand Options Completely,Business Finance,All Levels,2893
Wordpress Security,Web Development,All Levels,2888
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),Business Finance,All Levels,2877
Learn Ruby on Rails for Absolute Beginners,Web Development,All Levels,2875
Design a unique bookstore-quality Photo Book with Blurb,Graphic Design,All Levels,2863
Build Responsive Websites  in an Hour using Portalfin,Web Development,All Levels,2859
"Create, Update and Manage Your Own Website Using Drupal 7",Web Development,All Levels,2837
How to Build Chat Bots: From Beginner to Intermediate,Web Development,All Levels,2814
Dissecting Ruby on Rails 5 - Become a Professional Developer,Web Development,All Levels,2804
Learn Basic Concepts of Economics Step by Step - Complete,Business Finance,All Levels,2801
Complete GST Course & Certification - Grow Your CA Practice,Business Finance,All Levels,2792
Complete Codeigniter: From Beginner to Advanced,Web Development,All Levels,2786
Learn MeteorJS By Building 10 Real World Projects,Web Development,All Levels,2784
Automate Web Development With Gulp JS,Web Development,All Levels,2784
Creating User Authentication System in CodeIgniter,Web Development,All Levels,2783
Forex - Elliott Wave Theory with Fibonacci. ,Business Finance,All Levels,2769
Introduction to Value Growth Investing,Business Finance,All Levels,2768
Web Programming Course : Asp.Net MVC,Web Development,All Levels,2760
Become a Bootstrap Expert: Build 20 Layouts!,Web Development,All Levels,2755
"Simple Javascript: Learn by Doing, Beginners Welcome!",Web Development,All Levels,2753
Learn PHP Programming for Absolute Beginners - Lite,Web Development,All Levels,2749
A Complete Guide to Successful Freelance Logo Design Career,Graphic Design,All Levels,2745
Building An E-Commerce Store Using Java Spring Framework,Web Development,All Levels,2743
Project Funding Modelling (for Professionals),Business Finance,All Levels,2736
BDD with Ruby on Rails using RSpec 3 and Capybara,Web Development,All Levels,2706
Social Network Web Development,Web Development,All Levels,2698
The Blueprint for Successful Stock Trading,Business Finance,All Levels,2697
Technical Analysis 101: Master the Basics of Trading,Business Finance,All Levels,2688
IAS 1-Presentation of Financial Statements ,Business Finance,All Levels,2674
Guitar Insanity Workout - Eatmystrings!,Musical Instruments,All Levels,2673
The Complete Chart Pattern Trading Course: A Proven Approach,Business Finance,All Levels,2666
Make yourself a Santa Claus: Photoshop Manipulation,Graphic Design,All Levels,2665
ASP.NET Web API 2 Hands-On,Web Development,All Levels,2660
JavaScript Complete for beginners with real world Apps,Web Development,All Levels,2652
WordPress Plugin Development -> Deep dive discovery!,Web Development,All Levels,2650
The Complete Web Developer Course - Build 20 Websites,Web Development,All Levels,2650
Bootstrap Essential Training - Create Your Very Own Website,Web Development,All Levels,2643
Master ExpressJS to Build Web Apps with NodeJS&JavaScript,Web Development,All Levels,2643
Bootstrap 4 Theme Development Masterclass,Web Development,All Levels,2641
Excel 4 Accounting & Bookkeeping - Master Lookup Functions,Business Finance,All Levels,2638
Ultimate CSS3 Course - From Beginners To Professional,Web Development,All Levels,2635
Discover the 7 Secrets to Figure Drawing: Draw Awesome ...,Graphic Design,All Levels,2634
Blues Master - Beginner's Techniques Piano Course,Musical Instruments,All Levels,2618
The 80/20 Guitar: Write Music and Play Guitar in 30 Days,Musical Instruments,All Levels,2610
PHP Login and Registration System - Email Confirm Activation,Web Development,All Levels,2607
Mastering Logo Design - 20 Projects step-by-step,Graphic Design,All Levels,2599
Financial Accounting: The Complete Introductory Crash Course,Business Finance,All Levels,2591
ChatBots: Messenger ChatBot with API.AI and Node.JS,Web Development,All Levels,2577
Hosting Django: Amazon Web Services (AWS) Fundamentals,Web Development,All Levels,2573
IAS 18 - Revenue,Business Finance,All Levels,2571
Learn JavaScript From Scratch:Become Top Rated Web Developer,Web Development,All Levels,2570
Guitar Lessons: The Essential Beginner & Intermediate Course,Musical Instruments,All Levels,2566
Graphic Design Secrets Revealed,Graphic Design,All Levels,2555
Get great playing HARMONICA - a fun new leisure time hobby !,Musical Instruments,All Levels,2543
Learn to Create Advance Responsive Websites With Bootstrap,Web Development,All Levels,2528
Creating a Responsive HTML Email,Web Development,All Levels,2520
Basics of Economics (College Level),Business Finance,All Levels,2516
The Complete Ethereum Course: Get .01 Ether In Your Wallet,Business Finance,All Levels,2507
How To Make Money With A Cover Band,Musical Instruments,All Levels,2498
"Core: A Web App Reference Guide for Django, Python, and More",Web Development,All Levels,2497
Learn How To Successfully Trade Stocks: In 5 Simple Steps,Business Finance,All Levels,2493
Free Options 101 - Basic of Call and Put Options in 1 Hours,Business Finance,All Levels,2481
Illustrator CC para novatos: ¡desde cero hasta experto! ,Graphic Design,All Levels,2476
CFA Corporate Finance Level 2,Business Finance,All Levels,2474
Learn Rails Programming in Less than 2 Hours,Web Development,All Levels,2470
"Create a Simple Photo Gallery with Dropzonejs, Slick and PHP",Web Development,All Levels,2464
Learning CSS3 - A Comprehensive Tutorial For Web Developers,Web Development,All Levels,2459
Beginner to Pro - Financial Analysis in Excel 2017,Business Finance,All Levels,2451
Save on Your Taxes,Business Finance,All Levels,2437
The Complete HMTL5 Course - Go From Beginner To Advanced!,Web Development,All Levels,2430
Build your own Beautiful Blog in WordPress + SEO,Web Development,All Levels,2421
Adobe - Create a professional logo step-by-step (Beauty),Graphic Design,All Levels,2420
Word Swag : Create Stunning Images with the Word Swag App,Graphic Design,All Levels,2416
Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days,Musical Instruments,All Levels,2415
Javascript Intermediate level 2 - Mastering Functions,Web Development,All Levels,2412
HTML Tutorials : HTML Code for Website Creating,Web Development,All Levels,2401
Practical Web Development: Make Websites Quickly And Easily,Web Development,All Levels,2389
Cost Accounting Overheads (Professional Course Level),Business Finance,All Levels,2383
WordPress LMS: E-Learning Website Made Easy,Web Development,All Levels,2382
Forex Trading: Comprehensive & Concise Forex Trading Course,Business Finance,All Levels,2379
The Logo Design Process From Start To Finish,Graphic Design,All Levels,2361
How to Doodle: Basics and Lettering,Graphic Design,All Levels,2358
"Become a Graphic Designer, and earn a living from it",Graphic Design,All Levels,2354
HTML5 and CSS3 : Landing Pages for Entrepreneurs 2016,Web Development,All Levels,2354
"Learn to code, Become a Web Developer and Master JavaScript!",Web Development,All Levels,2353
Bootstrap 3 Introduction : Create RESPONSIVE Websites Fast,Web Development,All Levels,2351
iPhone icons gone awesome,Graphic Design,All Levels,2346
"Learn How to Play Blues, Rock, & Boogie Woogie Piano Today",Musical Instruments,All Levels,2346
Business Analysis:  Working with Use Cases,Business Finance,All Levels,2338
Install a Wordpress Theme the Correct Way & Charge Others,Web Development,All Levels,2335
Master Manga Studio 5: Bonus Drawing and Painting,Graphic Design,All Levels,2325
A Very Complete Introduction To Laravel,Web Development,All Levels,2320
Live Account - ETF Trading System - Hacking The Stock Market,Business Finance,All Levels,2318
Financial modeling: Build a forward looking financial model,Business Finance,All Levels,2317
PHP MySQL: Learn PHP MySQL with Project,Web Development,All Levels,2314
Wordpress Tutorial   ,Web Development,All Levels,2311
How I Make Consistent Returns Trading Options,Business Finance,All Levels,2310
Option Trading - How To Earn If You Can't Predict The Market,Business Finance,All Levels,2305
Build Websites And Apps By Outsourcing,Web Development,All Levels,2299
Bootstrap 4.0 New Features: Build Responsive Website,Web Development,All Levels,2296
Forex Traders - Create Your First Trading Robot. No Coding!,Business Finance,All Levels,2295
Basics of Business Statistics (College Level),Business Finance,All Levels,2293
Bitcoin - The Complete Guide,Business Finance,All Levels,2281
Learn To Create WordPress Themes By Building 10 Projects,Web Development,All Levels,2273
Risk Analysis - Capital Budgeting for CA / CS / CFA exams,Business Finance,All Levels,2268
Freelancing A-Z: How To Start A Successful Freelance Career,Graphic Design,All Levels,2267
WordPress Security - The Ultimate Security Guide,Web Development,All Levels,2267
Creating Icons with Adobe Illustrator,Graphic Design,All Levels,2266
"IAS37 - Provisions, Contingents Liabilities & Assets",Business Finance,All Levels,2247
The Build a SAAS App with Flask Course,Web Development,All Levels,2244
The Web Developers Guide: Learn HTML & CSS Fundamentals,Web Development,All Levels,2243
